record_timestamp,machineNo,machine_identifier,machine_serial,screen_saver,language_setting,machine_drive_lr,length_unit_of_measure,weight_unit_of_measure,count_unit_of_measure,yarn_clearer_type,machine_mode,sensor_negtive_pressure,cleaning_fan_interval,cleaning_fan_rounds,tube_conveyor_method,tube_conveyor_interval,tube_conveyor_interval_count,package_unload_belt,division_amount,position_amount,group_amount,day_of_week,class_amount
2015-10-19 16:37:53.623,9,9,201502,1,0,1,0,0,1,0,5,50,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-19 16:42:14.360,9,9,201502,1,0,1,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-19 16:47:07.503,7,1,0,2,0,0,0,0,1,0,5,50,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-19 16:55:47.210,4,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 20:16:41.953,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 20:17:18.013,4,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 20:17:55.000,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 20:18:31.350,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,1,3
2015-10-19 20:19:05.883,7,1,0,2,0,0,0,0,1,0,5,50,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-19 20:19:40.767,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-19 20:20:17.173,9,9,201502,1,0,1,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-19 20:20:51.277,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,1,3
2015-10-19 20:37:38.120,7,1,0,2,0,0,0,0,1,0,5,50,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-20 02:09:01.703,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 07:00:37.483,7,1,0,2,0,0,0,0,1,0,5,50,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 10:20:02.427,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 10:24:21.693,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 10:28:42.813,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 13:22:08.703,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 13:22:44.417,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 13:26:31.247,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 13:35:44.333,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 14:19:28.743,7,1,0,2,0,0,0,0,1,0,5,50,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 14:22:43.540,7,1,0,2,0,0,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 16:41:03.330,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 16:53:32.340,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 16:58:01.057,4,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 16:58:36.623,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,2,3
2015-10-20 17:01:21.140,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,2,3
2015-10-20 17:02:29.267,4,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 17:05:45.563,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,2,3
2015-10-20 17:18:57.540,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 17:22:50.080,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,2,3
2015-10-20 17:24:29.837,7,1,0,2,0,0,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 17:27:14.447,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 17:28:55.160,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,2,3
2015-10-20 17:36:02.317,9,9,201502,1,0,1,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 17:45:52.750,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,2,3
2015-10-20 20:24:01.960,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:24:38.653,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,2,3
2015-10-20 20:25:14.320,7,1,0,2,0,0,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 20:25:48.263,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:26:22.203,9,9,201502,1,0,1,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 20:26:55.827,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,2,3
2015-10-20 20:27:30.037,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:28:03.933,4,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:54:16.427,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:54:50.337,7,1,0,2,0,0,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 20:55:23.980,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:55:57.490,9,9,201502,1,0,1,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 20:56:30.937,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,2,3
2015-10-20 20:57:04.480,4,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:57:38.277,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:58:25.180,4,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:58:58.633,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 20:59:31.027,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,2,3
2015-10-20 21:00:03.873,7,1,0,2,0,0,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 21:00:35.967,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-20 21:01:08.450,9,9,201502,1,0,1,0,0,1,0,5,55,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-20 21:01:41.213,10,1,0,1,0,0,0,0,1,0,5,50,3,3,0,0.1,1,1,1,60,1,2,3
2015-10-20 21:02:14.413,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-21 02:05:15.063,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-21 08:12:40.417,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,3,3
2015-10-21 08:17:34.610,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-21 08:23:27.120,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-21 08:32:06.347,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-21 08:50:37.333,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-21 08:58:30.560,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-21 09:12:14.863,4,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-21 09:37:40.653,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,3,3
2015-10-21 09:50:41.013,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-21 10:05:52.210,8,1,0,1,0,0,0,0,1,0,5,60,0,0,0,0.1,1,2,1,60,1,3,3
